SKU-ID;Description;2020_units_sold;2021_start_stock;Raw_Material_Cost;Factory_Labor_Costs;Factory_Equipment_Rent_Costs;Distribution_Costs;Advertisement_Costs;Retail_Price;Category;;;;;;;;;;;;;;;
82486;3 DRAWER ANTIQUE WHITE WOOD CABINET;440;917;4,39;3,80;0,76;11,725;16,9155;13,32;Decoration;;;;;;;;;;;;;;;
23435;3 RAFFIA RIBBONS VINTAGE CHRISTMAS;692;1033;0,46;0,36;0,01;0,838;1,3197;1,88;Decoration;;;;;;;;;;;;;;;
85034B;3 WHITE CHOC MORRIS BOXED CANDLES;1610;1142;0,53;0,42;0,31;1,738;2,4625;2,47;Decoration;;;;;;;;;;;;;;;
84559A;3D SHEET OF DOG STICKERS;918;620;0,46;0,38;0,01;0,663;1,1560;1,90;Toys & edibles;;;;;;;;;;;;;;;
23697;A PRETTY THANK YOU CARD;557;530;0,01;0,18;0,23;0,563;0,8064;1,30;Office & school;;;;;;;;;;;;;;;
90001D;ANTIQUE OLIVE GREEN FLOWER EARRINGS;299;197;2,46;1,78;0,01;5,724;8,1832;6,68;Jewelry;;;;;;;;;;;;;;;
21644;ASSORTED TUTTI FRUTTI HEART BOX;442;470;0,54;0,32;0,39;1,275;2,0000;2,47;Toys & edibles;;;;;;;;;;;;;;;
22932;ASSORTED TOFFEE CHOCOLATE;1209;1033;1,45;0,97;0,13;2,550;4,0290;4,30;Toys & edibles;;;;;;;;;;;;;;;
85131B;BEADED CRYSTAL HEART GREEN ON STICK;808;777;0,37;0,24;0,22;0,457;0,9379;1,88;Jewelry;;;;;;;;;;;;;;;
84751B;BLACK MEDIUM GLASS CAKE STAND;125;107;1,80;1,42;0,53;5,513;7,6875;5,99;Decoration;;;;;;;;;;;;;;;
84661B;BLACK SQUARE TABLE CLOCK;345;367;2,83;1,78;0,35;6,002;8,8784;7,70;Home accessories;;;;;;;;;;;;;;;
90010B;BLACK/WHITE GLASS/SILVER BRACELET;501;363;5,08;3,37;1,32;10,063;15,7297;14,48;Jewelry;;;;;;;;;;;;;;;
46138B;BLUE CHENILLE SHAGGY CUSHION COVER ;163;363;0,42;0,33;0,10;0,459;0,9520;1,90;Home accessories;;;;;;;;;;;;;;;
84673B;BLUE FLY SWAT;359;449;0,41;0,27;0,11;0,735;1,1929;1,82;Home accessories;;;;;;;;;;;;;;;
84881;BLUE WIRE SPIRAL CANDLE HOLDER;84;127;3,11;2,08;1,16;8,128;11,8110;9,66;Home accessories;;;;;;;;;;;;;;;
84206C;CHAMPAGNE TRAY BLANK CARD;392;274;0,10;0,09;0,01;0,264;0,3743;0,97;Office & school;;;;;;;;;;;;;;;
84997a;CHILDRENS CUTLERY POLKADOT GREEN ;2369;1942;4,89;3,39;0,01;9,036;13,8443;12,39;Home accessories;;;;;;;;;;;;;;;
22141;CHRISTMAS CRAFT TREE TOP ANGEL;3539;2974;1,02;0,83;0,01;1,554;2,6270;3,31;Decoration;;;;;;;;;;;;;;;
21098;CHRISTMAS TOILET ROLL;1614;3842;0,61;0,48;0,16;1,100;1,8250;2,47;Home accessories;;;;;;;;;;;;;;;
90177A;CLASSIC DIAMANTE EARRINGS SET;25;65;1,65;1,25;0,01;2,117;3,7990;4,79;Jewelry;;;;;;;;;;;;;;;
21340;CLASSIC METAL BIRDCAGE PLANT HOLDER;1461;1150;6,38;3,90;2,47;18,488;25,8825;18,68;Home accessories;;;;;;;;;;;;;;;
90059D;DIAMANTE HAIR GRIP PACK/2 PERIDOT;86;169;0,79;0,60;0,30;2,163;3,1434;3,09;Jewelry;;;;;;;;;;;;;;;
90176C;DIAMANTE NECKLACE;170;126;4,58;3,65;0,10;11,814;16,6400;12,44;Jewelry;;;;;;;;;;;;;;;
90057;DIAMANTE RING ASSORTED IN BOX.;1263;1128;0,74;0,51;0,01;0,650;1,3750;2,47;Jewelry;;;;;;;;;;;;;;;
23236;DOILEY BISCUIT TIN;311;243;1,68;1,21;0,01;2,543;4,2194;4,78;Toys & edibles;;;;;;;;;;;;;;;
23236C;DOILEY STORAGE TIN;599;1303;1,18;1,02;0,69;3,035;4,7107;4,78;Home accessories;;;;;;;;;;;;;;;
23126;DOLLCRAFT GIRL AMELIE KIT;270;216;2,38;2,03;0,54;6,287;9,1575;7,68;Toys & edibles;;;;;;;;;;;;;;;
23345;DOLLY GIRL BEAKER;1835;2514;1,08;0,79;0,58;1,870;3,2964;4,17;Toys & edibles;;;;;;;;;;;;;;;
23077;DOUGHNUT LIP GLOSS ;7873;10497;0,58;0,41;0,05;0,728;1,3312;2,17;Toys & edibles;;;;;;;;;;;;;;;
22858;EASTER TIN KEEPSAKE;514;1253;0,73;0,44;0,48;2,079;3,0360;3,03;Home accessories;;;;;;;;;;;;;;;
35810B;ENAMEL BLUE RIM COFFEE CONTAINER;106;258;0,37;0,26;0,21;0,581;1,0624;1,88;Home accessories;;;;;;;;;;;;;;;
84536B;FAIRY CAKES NOTEBOOK A7 SIZE;2905;2441;0,01;0,16;0,25;0,239;0,4830;1,30;Office & school;;;;;;;;;;;;;;;
